sttl,dttl,sloss,dloss,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,dmeansz,Sjit,Stime,Ltime,tcprtt,synack,ackdat,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,srcip_175.45,srcip_59.166,sport_0,sport_other,dsport_0,dsport_53,dsport_110,dsport_135,dsport_179,dsport_445,dsport_514,dsport_520,dsport_other,state_CON,state_FIN,state_INT,Label
31,29,0,0,542750.9375,661710.0,2,2,0,0,0,0,89,0.0,1421930771,1421930771,0.0,0.0,0.0,0,3,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,2,2,126711.1484,102084.3359,8,10,255,255,1516109127,1520311587,82,498.398916,1421927456,1421927456,0.001213,0.001011,0.000202,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,0,0,713567.8125,402010.0313,4,4,0,0,0,0,80,1.746082,1421948752,1421948752,0.0,0.0,0.0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,29,0,0,22167.08008,12572.37402,4,4,0,0,0,0,76,47.099676,1421949966,1421949966,0.0,0.0,0.0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,29,7,16,896485.5625,8725059.0,44,46,255,255,173308679,2319590560,581,36.474161,1421950919,1421950919,0.00078,0.000617,0.000163,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,18,906303.75,9935867.0,48,50,255,255,1947204267,4113318781,648,31.584609,1421941924,1421941924,0.000631,0.000488,0.000143,0,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
254,0,0,0,83200000.0,0.0,2,0,0,0,0,0,0,0.0,1421932395,1421932395,0.0,0.0,0.0,2,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
31,29,0,0,490103.6563,610744.5625,2,2,0,0,0,0,81,0.0,1421954051,1421954051,0.0,0.0,0.0,0,8,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,16,438704.9375,4427525.0,44,46,255,255,4109773444,1960456859,603,88.066327,1421947504,1421947504,0.000737,0.000582,0.000155,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,27,793129.0625,10970491.0,66,68,255,255,4187722243,4192224147,798,41.885603,1421952898,1421952898,0.000726,0.000587,0.000139,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,556720.6875,678741.6875,2,2,0,0,0,0,89,0.0,1421930472,1421930472,0.0,0.0,0.0,0,3,3,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,2,345,20045.10547,1190109.5,328,707,255,255,2378042416,2404888993,1470,1247.022118,1421945479,1421945486,0.000659,0.000527,0.000132,0,5,5,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,29,14,17,3633701.75,4903909.0,62,58,255,255,1792046018,3941931017,138,13.713703,1421934776,1421934776,0.000758,0.000607,0.000151,0,6,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,24,353552.6875,4488050.0,60,62,255,255,4276297254,4293117083,740,0.0,1421950572,1421950572,0.00067,0.000534,0.000136,0,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,1725490.125,993464.0625,4,4,0,0,0,0,76,0.66138,1421927831,1421927831,0.0,0.0,0.0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,29,3,5,12414.98828,76236.28906,14,18,255,255,678844331,2829503914,565,8765.593832,1421942280,1421942281,0.000715,0.000566,0.000149,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,0,0,512280.7188,624561.4375,2,2,0,0,0,0,89,0.0,1421939599,1421939599,0.0,0.0,0.0,0,3,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,12,1552269.375,11265920.0,36,38,255,255,902995207,913551080,445,18.34707,1421934435,1421934435,0.000718,0.000554,0.000164,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,1,2,710342.5,4344529.5,6,8,255,255,2114485686,2118490908,233,29.522613,1421948990,1421948990,0.000617,0.000483,0.000134,0,4,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,20,674063.875,8414243.0,52,54,255,255,1741214655,3891120991,735,49.058527,1421930764,1421930764,0.000768,0.000644,0.000124,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,19,285601.7813,3165292.25,53,48,255,255,3848584340,3893956714,748,95.815775,1421942865,1421942865,0.000744,0.000606,0.000138,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
254,0,0,0,5634.09668,0.0,8,0,0,0,0,0,0,788.376437,1421928230,1421928234,0.0,0.0,0.0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
31,29,3,5,12414.05371,76230.53906,14,18,255,255,4078543702,4083774439,565,8765.189779,1421933925,1421933926,0.000653,0.000518,0.000135,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,18,1380921.125,15252100.0,48,50,255,255,575775283,586334390,653,0.0,1421944893,1421944893,0.000664,0.00053,0.000134,0,11,4,4,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,751985.875,402471.3125,4,4,0,0,0,0,76,1.710965,1421933893,1421933893,0.0,0.0,0.0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,29,0,0,591093.125,720647.8125,2,2,0,0,0,0,89,0.0,1421945536,1421945536,0.0,0.0,0.0,0,6,3,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,2,328,5857.350586,338548.8438,326,690,255,255,127934164,261484792,1458,4233.688893,1421945364,1421945388,0.000619,0.000475,0.000144,0,16,14,14,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,15,1605968.75,14342426.0,42,44,255,255,570054715,585372863,536,17.941842,1421944187,1421944187,0.000592,0.000457,0.000135,0,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,544268.375,663560.125,2,2,0,0,0,0,89,0.0,1421942182,1421942182,0.0,0.0,0.0,0,7,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,22,981794.0625,11663596.0,56,58,255,255,1835569640,1853325328,694,0.0,1421951964,1421951964,0.000683,0.000532,0.000151,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,4,4,39286.23828,42251.75,16,18,255,255,1083848788,1139299368,91,1515.825543,1421954321,1421954321,0.000836,0.000702,0.000134,0,7,7,1,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,532846.75,649635.0625,2,2,0,0,0,0,89,0.0,1421947477,1421947477,0.0,0.0,0.0,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,18,1373962.5,15062840.0,48,50,255,255,1627560870,3787040382,648,20.250151,1421941455,1421941455,0.000741,0.000559,0.000182,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,2,370,40849.48438,2479201.5,336,746,255,255,408332370,418375648,1458,567.049575,1421937244,1421937247,0.000705,0.000565,0.00014,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,36,421865.9063,7196391.5,84,86,255,255,4044711003,4064646763,964,75.637543,1421931444,1421931444,0.000613,0.000492,0.000121,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,18,1383889.625,15135368.0,48,50,255,255,4136403407,4154822563,647,0.0,1421936738,1421936738,0.000662,0.000528,0.000134,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,51.195526,0.0,6,0,0,0,0,0,0,0.0,1421937488,1421937538,0.0,0.0,0.0,0,4,2,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,29,36,366,8945.958008,386123.75,426,810,255,255,1241726998,1247737694,1275,23140.80499,1421945101,1421945123,0.000635,0.000485,0.00015,0,14,11,11,11,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,30,95263.60156,1369015.375,72,74,255,255,227674215,227906970,823,0.0,1421955705,1421955705,0.001392,0.001198,0.000194,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,20,1266125.75,15343205.0,52,54,255,255,1058913408,3213051699,714,20.621068,1421945581,1421945581,0.000678,0.000527,0.000151,0,12,3,3,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,7.077271,11.626946,2,2,0,0,0,0,46,0.007,1421927670,1421927702,0.0,0.0,0.0,0,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,29,21,191,77197.57813,3198151.25,224,429,255,255,1030889769,3181067519,1246,1502.811929,1421938898,1421938900,0.000585,0.000463,0.000122,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,3,5,12441.29688,76397.83594,14,18,255,255,1240914255,3391529861,565,8765.578082,1421927961,1421927962,0.000656,0.000522,0.000134,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,18,8,1352128.25,121853.2734,52,42,255,255,242559840,243647655,80,499.297833,1421931602,1421931603,0.000676,0.000524,0.000152,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,17,833370.625,8665324.0,46,48,255,255,4290561477,2178213977,618,34.100394,1421947676,1421947676,0.001278,0.00111,0.000168,0,4,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
254,0,0,0,228000000.0,0.0,2,0,0,0,0,0,0,0.0,1421931611,1421931611,0.0,0.0,0.0,2,4,4,4,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
31,29,11,15,428744.3438,546879.9375,52,54,255,255,3675777721,1537284351,69,108.783282,1421945356,1421945356,0.000675,0.00052,0.000155,0,16,5,5,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,10.954521,1421932755,1421932755,0.0,0.0,0.0,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,29,7,7,4505847.5,6544207.0,32,24,255,255,628934158,2778814433,228,13.067747,1421932451,1421932451,0.000773,0.000618,0.000155,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,0,0,11017.60938,6207.103516,4,4,0,0,0,0,80,138.567,1421939916,1421939917,0.0,0.0,0.0,0,5,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,29,6,6,2040634.625,4728082.5,22,26,255,255,3198368077,1049067069,170,17.660856,1421928043,1421928043,0.000632,0.000511,0.000121,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,6,6,23677.61914,53387.67188,22,24,255,255,3486615684,3486919902,180,1773.292379,1421935144,1421935145,0.000766,0.00061,0.000156,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
254,0,0,0,72727272.0,0.0,2,0,0,0,0,0,0,0.0,1421930708,1421930708,0.0,0.0,0.0,2,4,4,4,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
31,29,7,17,924006.0625,10219997.0,46,48,255,255,4116987346,1982109565,657,30.03903,1421953460,1421953460,0.000611,0.000476,0.000135,0,7,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,501718.2188,611683.8125,2,2,0,0,0,0,89,0.0,1421954313,1421954313,0.0,0.0,0.0,0,2,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,25,899790.4375,11161616.0,68,66,255,255,4043766699,1925894256,758,31.063548,1421951484,1421951484,0.000687,0.000565,0.000122,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
254,252,2,0,12896.73438,3836.47876,10,6,255,255,1057528719,3773804157,45,1073695.46,1421928254,1421928254,0.26045,0.142301,0.118149,1,2,2,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
31,29,7,13,757619.25,6068294.0,38,40,255,255,441113122,2629317213,488,42.796744,1421947702,1421947702,0.001382,0.001201,0.000181,0,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,1,4,9264.606445,201998.3906,8,12,255,255,3657210566,1858565129,735,2942.914963,1421929977,1421929977,0.000618,0.000473,0.000145,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,18,8,11970676.0,1081213.875,52,42,255,255,2347449932,2348474828,80,26.125885,1421945350,1421945350,0.000628,0.000493,0.000135,0,14,4,4,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,10,14,28193.95898,34236.98047,50,50,255,255,2035314626,2036342063,68,1459.83323,1421943700,1421943700,0.000659,0.000529,0.00013,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,4,1,15167619.0,678710.25,14,8,255,255,1070486496,3226403975,53,17.915258,1421944829,1421944829,0.000602,0.000471,0.000131,0,9,2,2,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,1821366.0,1064798.625,4,4,0,0,0,0,76,0.62414,1421935711,1421935711,0.0,0.0,0.0,0,4,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,29,7,36,996164.625,16859542.0,84,86,255,255,453726982,464248847,957,23.817333,1421928575,1421928575,0.000649,0.000501,0.000148,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,7,96721.125,69007.07031,28,30,255,255,1197692542,3350367946,103,699.165288,1421950785,1421950785,0.000649,0.000512,0.000137,0,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,1565479.125,915203.1875,4,4,0,0,0,0,76,0.758254,1421929615,1421929615,0.0,0.0,0.0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,29,6,6,2042708.375,2473958.5,22,24,255,255,2257329586,112241657,103,21.921186,1421933109,1421933109,0.001327,0.001156,0.000171,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,554605.875,676163.375,2,2,0,0,0,0,89,0.0,1421929915,1421929915,0.0,0.0,0.0,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,0,0,538860.125,671502.5625,2,2,0,0,0,0,81,0.0,1421943295,1421943295,0.0,0.0,0.0,0,3,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,0,0,686128.4375,386551.25,4,4,0,0,0,0,80,1.783797,1421927851,1421927851,0.0,0.0,0.0,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,29,7,14,991459.5,8808751.0,42,42,255,255,1503469343,3677393680,560,30.33631,1421929615,1421929615,0.000777,0.000486,0.000291,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,534979.4375,666666.6875,2,2,0,0,0,0,81,0.0,1421939657,1421939657,0.0,0.0,0.0,0,4,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,16,1559625.125,14564384.0,44,46,255,255,3053255966,903979752,561,18.284428,1421943340,1421943340,0.000758,0.000601,0.000157,0,3,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,3,5,10744.21582,71212.875,12,18,255,255,400653721,2547098228,565,9557.343588,1421936109,1421936110,0.000702,0.00054,0.000162,0,5,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,0,0,520963.4063,635147.1875,2,2,0,0,0,0,89,0.0,1421953514,1421953514,0.0,0.0,0.0,0,4,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,3,5,10929.0293,67111.50781,14,18,255,255,2862272896,2867451379,565,8835.912256,1421954439,1421954440,0.000642,0.000498,0.000144,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,22,1217661.5,15965262.0,56,58,255,255,4167337333,2018064191,766,21.123973,1421951896,1421951896,0.000768,0.000613,0.000155,0,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,24,947986.125,12524140.0,60,62,255,255,2964585825,815312867,770,28.008995,1421930497,1421930497,0.000801,0.000625,0.000176,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,18,8,980156.8125,87499.79688,52,42,255,255,206605796,207659756,80,601.573367,1421948904,1421948905,0.000642,0.000535,0.000107,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,6,6,2893931.0,3504888.25,22,24,255,255,4002511320,1857406275,103,14.820737,1421929322,1421929322,0.000653,0.000524,0.000129,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,15,206514.0313,1901080.375,42,44,255,255,2107164486,4257075925,553,149.098382,1421941370,1421941370,0.000687,0.000558,0.000129,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,570312.5,695312.5,2,2,0,0,0,0,89,0.0,1421935671,1421935671,0.0,0.0,0.0,0,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,21,684531.5,8491063.0,54,56,255,255,2768373718,656866141,731,47.960248,1421932244,1421932244,0.000617,0.000471,0.000146,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,18,933018.375,10538015.0,48,50,255,255,3706191963,3706492761,671,32.812464,1421931397,1421931397,0.000746,0.000593,0.000153,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,24,991872.1875,13489070.0,60,62,255,255,973570252,3142454330,789,27.138501,1421930183,1421930183,0.000678,0.000544,0.000134,0,7,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,3,5,12441.6416,76399.95313,14,18,255,255,496792452,2643325979,565,8766.168935,1421936360,1421936361,0.000722,0.000562,0.00016,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,22,32,36676.16016,42986.09375,102,100,255,255,2134371575,2134607383,171,2369.236225,1421955533,1421955536,0.000987,0.000511,0.000476,0,8,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,7,18,1466121.5,15046745.0,48,50,255,255,1625158678,1625478198,610,19.028554,1421927797,1421927797,0.000811,0.000637,0.000174,0,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,556190.5,678095.25,2,2,0,0,0,0,89,0.0,1421933091,1421933091,0.0,0.0,0.0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,1,2,46114.98438,275653.625,6,8,255,255,4047440927,4058298012,228,640.157965,1421932765,1421932765,0.000712,0.000545,0.000167,0,5,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,661105.75,372453.9375,4,4,0,0,0,0,80,1.917911,1421939958,1421939958,0.0,0.0,0.0,0,6,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,29,0,0,108610.7422,132415.8438,2,2,0,0,0,0,89,0.0,1421931045,1421931045,0.0,0.0,0.0,0,3,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,4,4,1854191.375,3936357.0,12,12,255,255,1768626388,1768902365,188,17.77089,1421948255,1421948255,0.000666,0.00053,0.000136,0,4,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,575369.4375,701477.8125,2,2,0,0,0,0,89,0.0,1421951885,1421951885,0.0,0.0,0.0,0,3,2,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,22,830708.75,10422027.0,56,58,255,255,2006025321,2006356211,733,33.490899,1421952064,1421952064,0.000759,0.000624,0.000135,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,14,17,39617.67969,53466.54688,62,58,255,255,955537771,956449710,138,1748.334519,1421943200,1421943201,0.000749,0.000611,0.000138,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,21,197,166131.375,6782716.0,234,438,255,255,4140242865,1998986501,1252,731.891054,1421952902,1421952902,0.000598,0.000464,0.000134,0,4,4,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,7,18,461894.1563,5100446.5,48,50,255,255,491833871,517385710,653,70.831168,1421929255,1421929255,0.000655,0.000521,0.000134,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,1805128.25,1039316.25,4,4,0,0,0,0,76,0.647002,1421939272,1421939272,0.0,0.0,0.0,0,7,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
60,0,0,0,211200000.0,0.0,2,0,0,0,0,0,0,0.0,1421932178,1421932178,0.0,0.0,0.0,0,5,5,3,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
31,29,7,24,750046.125,10181971.0,60,62,255,255,3408550111,3417224113,791,40.342987,1421942310,1421942310,0.001238,0.001111,0.000127,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,551463.625,672332.375,2,2,0,0,0,0,89,0.0,1421937926,1421937926,0.0,0.0,0.0,0,4,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,7,21,317045.7188,3576620.25,54,56,255,255,439045674,463400250,665,89.136368,1421945608,1421945608,0.000664,0.000529,0.000135,0,11,4,4,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,487347.7188,607310.25,2,2,0,0,0,0,81,0.0,1421953357,1421953357,0.0,0.0,0.0,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,5,4,2619403.0,2994403.0,22,14,255,255,2461890902,2458076124,123,0.0,1421945229,1421945229,0.000671,0.000551,0.00012,0,9,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,511383.5625,623467.625,2,2,0,0,0,0,89,0.0,1421941340,1421941340,0.0,0.0,0.0,0,4,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,18,8,7885.617676,687.624146,52,40,255,255,1498429459,3648994189,82,121053.4135,1421927417,1421927454,0.000756,0.000569,0.000187,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,0,0,512820.5,639053.25,2,2,0,0,0,0,81,0.0,1421951848,1421951848,0.0,0.0,0.0,0,3,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,0,0,560999.0625,683957.75,2,2,0,0,0,0,89,0.0,1421939322,1421939322,0.0,0.0,0.0,0,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
31,29,3,5,10403.95996,63887.23438,14,18,255,255,1948198708,1949253507,565,8897.181039,1421955822,1421955823,0.000687,0.000533,0.000154,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,29,4,4,1990821.0,4226415.0,12,12,255,255,1106045485,3251726936,188,16.281043,1421948236,1421948236,0.00067,0.000551,0.000119,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31,29,0,0,541744.0,660482.4375,2,2,0,0,0,0,89,0.0,1421949054,1421949054,0.0,0.0,0.0,0,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
