Destination Port,Flow Duration,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Bwd IAT Std,Bwd IAT Max,Fwd PSH Flags,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Init_Win_bytes_backward,Idle Mean,Idle Std,Idle Max,Idle Min,Label
123,28826,48,48,48,48.0,48,48,48.0,0.0,28826.0,0.0,28826,0,0.0,0.0,0,0.0,0,0,48,48,48.0,0.0,0.0,0,0,0,0,0,1,72.0,48.0,48.0,48,-1,0.0,0.0,0,0,0
45100,43,0,0,0,0.0,6,6,6.0,0.0,43.0,0.0,43,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
80,1793110,26,20,0,8.666666667,4380,0,1934.5,2177.344966,224138.75,633566.1833,1792135,633,316.5,371.2310601,579,801363.203,1792135,0,0,4380,1163.3,1903.962654,3625073.789,0,0,1,0,0,2,1292.555556,8.666666667,1934.5,26,229,0.0,0.0,0,0,1
443,115357023,772,417,0,35.0909090909,1448,0,365.8421052632,593.0585752556,2883925.575,4593052.92017953,10225017,115357023,5493191.57142857,5123114.00143351,10240017,5128792.0984225,10240208,0,0,1448,183.880952381,432.9061861071,187407.765969803,0,0,1,0,0,0,188.3658536585,35.0909090909,365.8421052632,772,61,10214554.8181818,34300.4049679247,10225017,10111137,0
49653,56,0,0,0,0.0,0,0,0.0,0.0,56.0,0.0,56,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,0,262,0.0,0.0,0,0,0
80,891918,26,20,0,8.666666667,7215,0,2321.4,3327.769794,127416.8571,336648.1821,890863,790,395.0,490.7321061,742,445267.4737,890863,0,0,7215,1292.555556,2650.585648,7025604.278,0,0,1,0,0,1,1454.125,8.666666667,2321.4,26,229,0.0,0.0,0,0,1
123,68058586,96,48,48,48.0,48,48,48.0,0.0,22700000.0,39200000.0,67900000,68000000,68000000.0,0.0,68000000,0.0,68000000,0,48,48,48.0,0.0,0.0,0,0,0,0,0,1,60.0,48.0,48.0,96,-1,67900000.0,0.0,67900000,67900000,0
443,96336288,2607,739,0,96.55555556,1430,0,169.25,380.8318016,1784005.333,9227396.613,58400000,96300000,3705241.846,13200000.0,58500000,11200000.0,58400000,0,0,1430,131.1785714,291.6385127,85053.02208,0,0,1,0,0,1,133.5636364,96.55555556,169.25,2607,408,47000000.0,16000000.0,58400000,35700000,0
53,170,64,32,32,32.0,60,60,60.0,0.0,56.66666667,57.49202843,118,4,4.0,0.0,4,0.0,48,0,32,60,43.2,15.33623161,235.2,0,0,0,0,0,1,54.0,32.0,60.0,64,-1,0.0,0.0,0,0,0
80,5500313,12,6,0,4.0,0,0,0.0,0.0,1833437.667,3141874.116,5461292,5500313,2750156.5,3834124.594,5461292,0.0,0,0,0,6,2.4,3.286335345,10.8,0,0,1,0,0,0,3.0,4.0,0.0,12,29200,0.0,0.0,0,0,0
53,120346,62,31,31,31.0,54,54,54.0,0.0,40115.33333,69477.46537,120341,2,2.0,0.0,2,0.0,3,0,31,54,40.2,12.59761882,158.7,0,0,0,0,0,1,50.25,31.0,54.0,62,-1,0.0,0.0,0,0,0
53,224,66,33,33,33.0,129,129,129.0,0.0,74.66666667,85.18998376,170,6,6.0,0.0,6,0.0,48,0,33,129,71.4,52.58136552,2764.8,0,0,0,0,0,1,89.25,33.0,129.0,66,-1,0.0,0.0,0,0,0
10621,42,0,0,0,0.0,6,6,6.0,0.0,42.0,0.0,42,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
443,3,0,0,0,0.0,0,0,0.0,0.0,3.0,0.0,3,3,3.0,0.0,3,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
53,250,60,30,30,30.0,207,207,207.0,0.0,83.33333333,101.9329845,198,3,3.0,0.0,3,0.0,49,0,30,207,100.8,96.94689268,9398.7,0,0,0,0,0,1,126.0,30.0,207.0,60,-1,0.0,0.0,0,0,0
53,46878,61,61,61,61.0,135,135,135.0,0.0,46878.0,0.0,46878,0,0.0,0.0,0,0.0,0,0,61,135,85.66666667,42.72391992,1825.333333,0,0,0,0,0,1,128.5,61.0,135.0,61,-1,0.0,0.0,0,0,0
443,2085,0,0,0,0.0,0,0,0.0,0.0,2085.0,0.0,2085,2085,2085.0,0.0,2085,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
80,5666609,0,0,0,0.0,0,0,0.0,0.0,1133321.8,2507812.015,5619376,5666609,1888869.667,3230719.797,5619376,0.0,17240,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,28960,0.0,0.0,0,0,0
587,4,4,2,2,2.0,0,0,0.0,0.0,4.0,0.0,4,4,4.0,0.0,4,0.0,0,0,2,2,2.0,0.0,0.0,0,0,1,0,0,0,3.0,2.0,0.0,4,-1,0.0,0.0,0,0,0
443,90912408,875,477,0,51.47058824,1460,2,271.2352941,530.7547138,2754921.455,4504596.165,10000000,90900000,5682025.5,5107948.46,10100000,5121482.49,10100000,0,0,1460,156.7428571,390.3050348,152338.0202,0,0,1,0,0,1,161.3529412,51.47058824,271.2352941,875,31088,9998327.778,9276.008298,10000000,9974723,0
53,60928,68,34,34,34.0,79,79,79.0,0.0,20309.33333,35093.65876,60832,48,48.0,0.0,48,0.0,48,0,34,79,52.0,24.64751509,607.5,0,0,0,0,0,1,65.0,34.0,79.0,68,-1,0.0,0.0,0,0,0
53,175330,42,42,42,42.0,101,101,101.0,0.0,175330.0,0.0,175330,0,0.0,0.0,0,0.0,0,0,42,101,61.66666667,34.06366588,1160.333333,0,0,0,0,0,1,92.5,42.0,101.0,42,-1,0.0,0.0,0,0,0
10315,38,6,6,6,6.0,6,6,6.0,0.0,38.0,0.0,38,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,254,0.0,0.0,0,0,0
53,30858,45,45,45,45.0,301,301,301.0,0.0,30858.0,0.0,30858,0,0.0,0.0,0,0.0,0,0,45,301,130.3333333,147.8016689,21845.33333,0,0,0,0,0,1,195.5,45.0,301.0,45,-1,0.0,0.0,0,0,0
49160,31,2,2,2,2.0,6,6,6.0,0.0,31.0,0.0,31,0,0.0,0.0,0,0.0,0,0,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,2,0,0.0,0.0,0,0,1
80,4003750,0,0,0,0.0,0,0,0.0,0.0,4003750.0,0.0,4003750,4003750,4003750.0,0.0,4003750,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
80,100573839,354,348,0,50.57142857,5792,0,1656.428571,2118.227235,7736449.154,27800000.0,100000000,100000000,16700000.0,41000000.0,100000000,55040.28154,137130,0,0,5792,796.6,1619.74812,2623583.971,0,0,0,1,0,1,853.5,50.57142857,1656.428571,354,235,100000000.0,0.0,100000000,100000000,1
80,158844,26,20,0,8.666666667,10135,0,2321.4,4413.201989,22692.0,59542.24514,157720,891,445.5,494.26764,795,78686.99192,157720,0,0,10135,1292.555556,3350.634907,11200000.0,0,0,1,0,0,1,1454.125,8.666666667,2321.4,26,229,0.0,0.0,0,0,1
1040,70,0,0,0,0.0,6,6,6.0,0.0,70.0,0.0,70,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
80,2470361,429,429,0,143.0,2265,0,566.25,1132.5,411726.8333,979645.0691,2411212,2440498,1220249.0,1684276.027,2411212,1408568.456,2440180,0,0,2265,336.75,793.4609091,629580.2143,0,0,1,0,0,1,384.8571429,143.0,566.25,429,237,0.0,0.0,0,0,0
22,13278597,2008,640,0,95.61904762,976,0,85.78125,220.240592,255357.6346,687346.7126,2627358,11300000,566564.9,996030.4445,2681822,852494.1618,2627358,0,0,976,88.01851852,189.5902723,35944.47135,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,2008,247,0.0,0.0,0,0,1
443,117193271,1139,362,0,49.52173913,2021,0,470.2857143,706.8190817,2725424.907,4383963.401,10000000,117000000,5326966.864,4913366.47,10000000,5016771.788,10000000,0,0,2021,244.7777778,527.1805749,277919.3586,0,0,1,0,0,0,250.3409091,49.52173913,470.2857143,1139,127,9996986.273,15679.25448,10000000,9950499,0
80,35979873,419,419,0,59.85714286,1767,0,252.4285714,667.8632238,2767682.538,4411239.967,10000000,30200000,5039828.833,5470700.377,10100000,4898971.396,10100000,0,0,1767,145.7333333,461.30846,212805.4952,0,0,1,0,0,1,156.1428571,59.85714286,252.4285714,419,939,10000000.0,11026.62646,10000000,9997270,0
53,272877,96,48,48,48.0,154,154,154.0,0.0,90959.0,157501.4437,272826,48,48.0,0.0,48,0.0,3,0,48,154,90.4,58.0585911,3370.8,0,0,0,0,0,1,113.0,48.0,154.0,96,-1,0.0,0.0,0,0,0
80,236478,6,6,6,6.0,6,6,6.0,0.0,236478.0,0.0,236478,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,152,0.0,0.0,0,0,0
8800,42,2,2,2,2.0,6,6,6.0,0.0,42.0,0.0,42,0,0.0,0.0,0,0.0,0,0,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,2,0,0.0,0.0,0,0,1
53,1990423,114,62,52,57.0,113,78,95.5,24.7487373415,663474.333333333,1106568.74418824,1940922,1941383,1941383.0,0.0,1941383,0.0,1989962,0,52,113,71.4,25.5695130967,653.8,0,0,0,0,0,1,89.25,57.0,95.5,114,-1,0.0,0.0,0,0,0
63305,89,6,6,6,6.0,6,6,6.0,0.0,89.0,0.0,89,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,256,0.0,0.0,0,0,0
49160,1,4,2,2,2.0,0,0,0.0,0.0,1.0,0.0,1,1,1.0,0.0,1,0.0,0,0,2,2,2.0,0.0,0.0,0,0,1,0,0,0,3.0,2.0,0.0,4,-1,0.0,0.0,0,0,0
80,5915303,12,6,0,4.0,0,0,0.0,0.0,1971767.66666667,3370738.97900169,5863849,5915303,2957651.5,4109983.91943478,5863849,0.0,0,0,0,6,2.4,3.286335345,10.8,0,0,1,0,0,0,3.0,4.0,0.0,12,14480,0.0,0.0,0,0,0
53,31008,45,45,45,45.0,177,177,177.0,0.0,31008.0,0.0,31008,0,0.0,0.0,0,0.0,0,0,45,177,89.0,76.21023553,5808.0,0,0,0,0,0,1,133.5,45.0,177.0,45,-1,0.0,0.0,0,0,0
53,23473,35,35,35,35.0,51,51,51.0,0.0,23473.0,0.0,23473,0,0.0,0.0,0,0.0,0,0,35,51,40.33333333,9.237604307,85.33333333,0,0,0,0,0,1,60.5,35.0,51.0,35,-1,0.0,0.0,0,0,0
443,43793,0,0,0,0.0,0,0,0.0,0.0,43793.0,0.0,43793,43793,43793.0,0.0,43793,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
443,118593431,2338,397,0,58.45,4344,0,1141.575,1069.881898,1501182.671,3524013.403,10200000,119000000,3040857.205,4594986.854,10200000,4626652.594,10200000,0,0,4344,592.6049383,929.8296306,864583.142,0,0,1,0,0,1,600.0125,58.45,1141.575,2338,1106,10200000.0,1850.699563,10200000,10200000,0
53,23671,58,29,29,29.0,45,45,45.0,0.0,7890.3333333333,13662.9941569677,23667,3,3.0,0.0,3,0.0,1,0,29,45,35.4,8.7635609201,76.8,0,0,0,0,0,1,44.25,29.0,45.0,58,-1,0.0,0.0,0,0,0
53,30776,41,41,41,41.0,69,69,69.0,0.0,30776.0,0.0,30776,0,0.0,0.0,0,0.0,0,0,41,69,50.33333333,16.16580754,261.3333333,0,0,0,0,0,1,75.5,41.0,69.0,41,-1,0.0,0.0,0,0,0
53,40805,78,39,39,39.0,100,100,100.0,0.0,13601.66667,23516.35232,40756,3,3.0,0.0,3,0.0,46,0,39,100,63.4,33.41107601,1116.3,0,0,0,0,0,1,79.25,39.0,100.0,78,-1,0.0,0.0,0,0,0
80,98708880,365,365,0,52.14285714,4344,0,1656.428571,1757.579003,7592990.769,27300000.0,98600000,98600000,16400000.0,40200000.0,98600000,54361.76278,135130,0,0,4344,797.3333333,1422.72152,2024136.524,0,0,0,1,0,1,854.2857143,52.14285714,1656.428571,365,235,98600000.0,0.0,98600000,98600000,1
443,5064950,1783,599,0,71.32,4380,0,1352.95,760.5005082687,79139.84375,481159.638018278,3686518,5064950,211039.583333333,777922.234084064,3686518,197234.43443951,1233469,0,0,4380,846.9848484848,870.9248398628,758510.076689977,0,0,1,0,0,1,860.0153846154,71.32,1352.95,1783,128,0.0,0.0,0,0,0
53,48405,78,39,39,39.0,55,55,55.0,0.0,16135.0,27901.61594,48353,3,3.0,0.0,3,0.0,49,0,39,55,45.4,8.76356092,76.8,0,0,0,0,0,1,56.75,39.0,55.0,78,-1,0.0,0.0,0,0,0
443,60768628,2142,1819,0,153.0,1615,0,261.4615385,571.0548157,2337254.923,4262802.362,10000000,60800000,4674509.846,5142854.552,10100000,5185791.249,10100000,0,0,1819,197.8928571,511.6036037,261738.2474,0,0,1,0,0,0,205.2222222,153.0,261.4615385,2142,124,9968473.0,52206.9092,10000000,9885871,0
53,129746,72,36,36,36.0,101,101,101.0,0.0,43248.66667,74862.99206,129693,49,49.0,0.0,49,0.0,4,0,36,101,62.0,35.60196624,1267.5,0,0,0,0,0,1,77.5,36.0,101.0,72,-1,0.0,0.0,0,0,0
80,15193,0,0,0,0.0,0,0,0.0,0.0,15193.0,0.0,15193,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,0,30,0.0,0.0,0,0,0
53,60936,46,46,46,46.0,235,235,235.0,0.0,60936.0,0.0,60936,0,0.0,0.0,0,0.0,0,0,46,235,109.0,109.1192009,11907.0,0,0,0,0,0,1,163.5,46.0,235.0,46,-1,0.0,0.0,0,0,0
80,48,0,0,0,0.0,0,0,0.0,0.0,48.0,0.0,48,48,48.0,0.0,48,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,1
54380,71350886,11607,4380,0,1450.875,20,0,6.8,5.006662228,4197110.941,16900000.0,69700000,71400000,10200000.0,26700000.0,70800000,23200000.0,69700000,0,0,4380,614.7894737,1211.882492,1468659.175,0,0,0,1,1,1,648.9444444,1450.875,6.8,11607,256,69700000.0,0.0,69700000,69700000,0
1089,23,0,0,0,0.0,6,6,6.0,0.0,23.0,0.0,23,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
80,97407810,328,322,0,46.85714286,4344,0,1932.5,1754.831473,8117317.5,28100000.0,97400000,97400000,16200000.0,39800000.0,97400000,4752.691743,10972,0,0,4344,851.6428571,1461.139893,2134929.786,0,0,0,1,0,0,917.1538462,46.85714286,1932.5,328,235,97400000.0,0.0,97400000,97400000,1
80,8996,6,6,0,1.0,0,0,0.0,0.0,1799.2,3479.704686,7974,8996,1799.2,3479.704686,7974,0.0,0,0,0,6,0.857142857,2.267786838,5.142857143,0,0,0,1,0,0,1.0,1.0,0.0,6,-1,0.0,0.0,0,0,1
80,98363843,312,312,0,34.66666667,4344,0,1932.5,1754.831473,7025988.786,26300000.0,98300000,98400000,12300000.0,34800000.0,98300000,5161.143982,11982,0,0,4344,744.1875,1391.421538,1936053.896,0,0,0,1,0,0,793.8,34.66666667,1932.5,312,235,98300000.0,0.0,98300000,98300000,1
60342,63,0,0,0,0.0,0,0,0.0,0.0,31.5,44.54772721,63,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,2,0.0,0.0,0.0,0,33304,0.0,0.0,0,0,0
53,163,102,51,51,51.0,112,112,112.0,0.0,54.33333333,89.7904969,158,1,1.0,0.0,1,0.0,4,0,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,1,94.25,51.0,112.0,102,-1,0.0,0.0,0,0,0
53,31599,78,39,39,39.0,137,137,137.0,0.0,10533.0,18200.40571,31549,49,49.0,0.0,49,0.0,1,0,39,137,78.2,53.67681064,2881.2,0,0,0,0,0,1,97.75,39.0,137.0,78,-1,0.0,0.0,0,0,0
53,29016,88,44,44,44.0,215,215,215.0,0.0,9672.0,16708.24326,28965,3,3.0,0.0,3,0.0,48,0,44,215,112.4,93.66055733,8772.3,0,0,0,0,0,1,140.5,44.0,215.0,88,-1,0.0,0.0,0,0,0
80,85547341,329,329,0,41.125,5803,0,1932.5,2539.075088,6580564.692,23400000.0,84500000,85500000,12200000.0,31900000.0,84500000,449.6657648,1121,0,0,5803,794.9333333,1798.239316,3233664.638,0,0,0,1,0,0,851.7142857,41.125,1932.5,329,235,84500000.0,0.0,84500000,84500000,1
443,116712063,1172,517,0,90.1538461538,219,0,56.1818181818,69.6833095968,5074437.52173913,16766234.0489993,58391272,116712063,9726005.25,22663786.4555089,58465471,24559065.3150872,58426137,0,0,517,71.6,121.4444317373,14748.75,0,0,1,0,0,0,74.5833333333,90.1538461538,56.1818181818,1172,122,58208733.5,258148.422355241,58391272,58026195,0
